Column1,Wind Farm Name,GPS Coordinates,Number of Turbines,Rotor diameter,Minimum hub height,Maximum hub height,Cut-in wind speed,Cut-off wind speed,Rated wind speed,Rated power,Url,Manufacturer
143,"Garracummer Wind Farm
Wind",POINT (-8.186797797992321 52.63953901892847),17,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_17358_garracummer.php,"LM Glasfiber, Nordex"
144,Garranereagh Wind Farm,POINT (-8.932479024240054 51.81585809416095),4,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_21327_garranareagh.php,Enercon
145,"Gartnaneane (1) Wind Farm
Wind",POINT (-6.927101275840504 53.94436481991163),3,70.5,54.7,100,3,24,13,"1,500",https://www.thewindpower.net/windfarm_en_1694_gartnaneane.php,"LM Glasfiber, GE Energy"
146,"Gartnaneane II Wind Farm
Wind",POINT (-6.968983428433685 53.88907815655331),3,70.5,54.7,100,3,24,13,"1,500",https://www.thewindpower.net/windfarm_en_24075_gartnaneane.php,"LM Glasfiber, GE Energy"
147,Garvagh,POINT (-8.200747106320399 54.15128740497325),13,80,60,100,3.5,25,14.5,"2,000",https://www.thewindpower.net/windfarm_en_18028_garvagh-glebe.php,Vestas
149,Geevagh Wind Farm,POINT (-8.268518065801439 54.14228641951959),6,52,44,65,4,25,16,850,https://www.thewindpower.net/windfarm_en_1850_geevagh.php,Gamesa
150,"Gibbet Hill Wind Farm
Wind",POINT (-6.577870081707594 52.67924977679553),6,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_20344_gibbet-hill.php,"LM Glasfiber, Nordex"
151,Glackmore Hill (1),POINT (-7.260917293459636 55.12488388173428),0,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_6697_glackmore-i.php,"LM Glasfiber, Nordex"
152,"Glackmore Hill (2)
Wind",POINT (-7.268970588472128 55.12260546813781),0,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_6698_glackmore-ii.php,Enercon
153,"Glackmore Hill (3)
Wind",POINT (-7.269476805304424 55.122356937239),0,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_6699_glackmore-iii.php,Enercon
154,Glanaruddery 1 (formerly Dromadda More Wind Farm),POINT (-9.461130592627899 52.31189933060623),11,103,69,94,4,25,12.5,"3,450",https://www.thewindpower.net/windfarm_en_29937_glanaruderry.php,GE Energy
157,Glencarbry Wind Farm,POINT (-8.102615981913045 52.62274434811803),5,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_24666_glencarbry-wind-farm.php,"LM Glasfiber, Nordex"
